title;artist;album;isrc;addedDate;addedBy;duration;url
Addiction;"Chad Tyson";"Give a Damn";DEZ651333213;"2020-07-05 00:04";1218037846;442s;https://open.spotify.com/track/7ChJig0mbnvOeoqShcsOp0
"My Computer";"Adana Twins, Glowal";"Picture: Adana Twins";DEDH71900039;"2020-07-05 00:04";1218037846;515s;https://open.spotify.com/track/0EFONrcgPNCnkQSJ7Y3PnI
"Time (You and I)";Khruangbin;"Time (You and I)";USJ5G2019302;"2020-07-05 00:06";1218037846;342s;https://open.spotify.com/track/2QoiyjegLQ3DWKBfFX9ihX
"Pretty Please";"Dua Lipa";"Future Nostalgia";GBAHT1901300;"2020-07-05 00:09";1218037846;195s;https://open.spotify.com/track/6DXZiYUbrYgrVIhfX3U9Z2
"Break My Heart";"Dua Lipa";"Future Nostalgia";GBAHT1901303;"2020-07-05 00:09";1218037846;222s;https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
"Love Again";"Dua Lipa";"Future Nostalgia";GBAHT1901302;"2020-07-05 00:09";1218037846;258s;https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
Hallucinate;"Dua Lipa";"Future Nostalgia";GBAHT1901301;"2020-07-05 00:09";1218037846;209s;https://open.spotify.com/track/1nYeVF5vIBxMxfPoL0SIWg
"Rave Is King";"Fukkk Offf";"Rave Is King E.P.";USI4R0801680;"2020-07-05 00:10";1218037846;391s;https://open.spotify.com/track/2zmqGAE39ZwT8Wz91EjfGY
"Calling Card (Razor Dub)";"The Galleria, Jessy Lanza";"Calling Card / Mezzanine";USENV1503802;"2020-07-05 00:11";1218037846;283s;https://open.spotify.com/track/41H4fRseRoo5jOPFfEC5lv
"Feel My Butterfly - Jamie Jones Tribute To Aaron Carl Remix";"Parris Mitchell, Nina Kraviz, Jamie Jones";"Feel My Butterfly (Remixes)";GB9UU2000015;"2020-07-05 00:12";1218037846;395s;https://open.spotify.com/track/2ZsHhE4nMSKyDsdRh4rxl0
"Prayer - Edit";Prospa;"Prayer (Edit)";GB6LY1600192;"2020-07-05 00:14";1218037846;226s;https://open.spotify.com/track/4Gd5Cxw7V4JCM9Uj6VpiwL
"Song for Olivia";Skream;"Song for Olivia";GBCEN1900057;"2020-07-05 00:16";1218037846;350s;https://open.spotify.com/track/3G69N93wUnXpTOuoo2pJT1
Reason;"Maya Jane Coles";Reason;GBEXH1900542;"2020-07-05 00:16";1218037846;328s;https://open.spotify.com/track/3xyy8kSd1oxKDbvk7RQrIp
Joys;"Roberto Surace";Joys;GBCPZ1916359;"2020-07-05 00:16";1218037846;135s;https://open.spotify.com/track/2owws8NRqfPUdIn3Uag7Yp
Topdown;"Channel Tres";"Channel Tres";QM38F1800013;"2020-07-05 00:16";1218037846;230s;https://open.spotify.com/track/56dDonzTxrZKWuVDqUOYGd
Desire;"Butch, C.Vogt";Desire;DEVY91900133;"2020-07-05 00:18";1218037846;217s;https://open.spotify.com/track/6NMlHvmdyWegdtZ45wYPpe
"Turbo Time";"Patrick Topping";"Turbo Time";GBJX31963007;"2020-07-05 00:18";1218037846;392s;https://open.spotify.com/track/0i7Wo7SR4tbchoENrlmLKf
"To Paradise - Original Mix";"Palms Trax";"To Paradise";NLTH61900023;"2020-07-05 00:19";1218037846;372s;https://open.spotify.com/track/1EkVlvyq662nuN5mNG7P7K
"Trainmann - Tensnake Franceman Mix";"Lauer, Tensnake";"Trainmann (Tensnake Remixes)";DECY51201321;"2020-07-05 00:19";1218037846;457s;https://open.spotify.com/track/0HpHGti6doPOUBz66MAduf
"Baby Baby";Noizu;"Baby Baby";CA5KR1950983;"2020-07-05 00:19";1218037846;190s;https://open.spotify.com/track/2fMtXRKJDPtT8Xs4EJkBQh
"Sneaking Hotdogs into People's Pockets";"Tiger Stripes";"Sneaking Hotdogs into People's Pockets";GBUR61700354;"2020-07-05 00:20";1218037846;322s;https://open.spotify.com/track/0VsPwEFUMG3wYjAKtbddxq
"Come Together";"Chaos In The CBD";"Come Together";FR96X1912712;"2020-07-05 00:20";1218037846;394s;https://open.spotify.com/track/0NQjhe0ZH1U6LovYzTsRJ4
